Yum!| NULL| positive
Good Food, Great Service, Average Prices (For the Strip)| Food| positive
Good Food, Great Service, Average Prices (For the Strip)| Service| positive
Good Food, Great Service, Average Prices (For the Strip)| NULL| neutral
– I decided to eat at Stack because of their price fixed pre-show dinner.| price fixed pre-show dinner| neutral
When I walked in, I was taken aback by their incredible wood decor.| wood decor| positive
The music playing was very hip, 20-30 something pop music, but the subwoofer to the sound system was located under my seat, which became annoying midway through dinner.| music| positive
The music playing was very hip, 20-30 something pop music, but the subwoofer to the sound system was located under my seat, which became annoying midway through dinner.| subwoofer to the sound system| negative
We were quickly seated and requested the special dinner, which came with: 1) Shellfish and Shrimp appetizer or Caesar Salad, 2) 9 oz steak (with a single potato chip), and 3) homemade donut holes.| NULL| NULL
I got the shellfish and shrimp appetizer and it was alright.| shellfish and shrimp appetizer| neutral
It wasn&apos;t the freshest seafood ever, but the taste and presentation was OK.| seafood| neutral
It wasn&apos;t the freshest seafood ever, but the taste and presentation was OK.| seafood| neutral
Before the steak came, the server told us that the steak did not come with any sides and suggested I pick something from the menu.| NULL| NULL
I picked the asparagus, which turned out to be incredible and perfectly prepared.| asparagus| positive
It was steamed and tossed with garlic.| NULL| NULL
The 9 oz steak came next and it tasted great, at least initially.| 9 oz steak| positive
The steak was done to my exact liking (medium rare) and was nice and juicy.| steak| positive
It?s served with either a peppercorn sauce or red wine reduction, though both were indistinguishable in taste.| peppercorn sauce| neutral
It?s served with either a peppercorn sauce or red wine reduction, though both were indistinguishable in taste.| red wine reduction| neutral
Though, one thing I realized later on was that the restaurant either used MSG or a meat tenderizer on the steak.| steak| negative
My mouth felt very dry afterwards and I had that signature ?MSG? taste lingering in my throat after I left the restaurant.| NULL| negative
Finally, the homemade donut holes were served for desert.| NULL| NULL
They came in their own nifty take out box and with some homemade frosting; very light and not-too-sweet.| NULL| positive
The desert was the perfect ending to an almost perfect dinner.| desert| positive
The desert was the perfect ending to an almost perfect dinner.| dinner| positive
The dinner only took us about an hour and the prices were alright for the strip, almost $50/pp after tax and tip (about average).| NULL| neutral
The dinner only took us about an hour and the prices were alright for the strip, almost $50/pp after tax and tip (about average).| NULL| positive
But the servers were extremely attentive and very friendly.| servers| positive
Overall, I would go back and eat at the restaurant again.| restaurant| positive
Just remember to dress a little urban-chic so you don?t look too far out of place.| NULL| neutral
good sake, good food – i honestly don&apos;t know much about japanese food at all.| sake| positive
good sake, good food – i honestly don&apos;t know much about japanese food at all.| food| positive
In the past sake usuallly just tasted kind of like salty water to me.| NULL| NULL
Server made several sake suggestions which were very good.| sake| positive
Server made several sake suggestions which were very good.| Server| positive
had many dishes but the BEST was the lobster 3 ways.| lobster 3 ways| positive
VERY GOOD!| NULL| positive
Overpriced| NULL| negative
– We dined at the Colorado location today.| NULL| NULL
Waited 35 minutes for a table for 8 which was ok for such a big crowd.| NULL| neutral
The waiter was a bit unfriendly and the feel of the restaurant was crowded.| waiter| negative
The waiter was a bit unfriendly and the feel of the restaurant was crowded.| feel| negative
Also, there was only one bathroom stall- probably need more for such big crowds.| bathroom stall| negative
Most importantly, we were so excited about the food after seeing the very creative menu.| menu| positive
At best, the food was good and definately overpriced.| food| neutral
At best, the food was good and definately overpriced.| food| negative
For the amount of food we got the prices should have been lower.| food| negative
For the amount of food we got the prices should have been lower.| food| negative
Not sure if I would go back.| NULL| negative
My favortie pizza joint in Seattle| pizza joint| positive
– This is my &quot;must bring out of town guests to&quot; restaurant and they always enjoy and rave about it.| restaurant| positive
In fact, many want to return a second time during their visit.| NULL| positive
The pizza is delicious and the salads are fantastic.| pizza| positive
The pizza is delicious and the salads are fantastic.| salads| positive
I&apos;ve always found the wait staff and, if you sit at the bar, the cooks very friendly.| wait staff| positive
I&apos;ve always found the wait staff and, if you sit at the bar, the cooks very friendly.| cooks| positive
They aren&apos;t the most talkative, but everytime I&apos;ve been there they have been very busy, which probably accounts for the lack of conversation.| NULL| neutral
I also really enjoy the simplicity of the decor and intimate feeling of a small restaurant.| decor| positive
I also really enjoy the simplicity of the decor and intimate feeling of a small restaurant.| feeling| positive
It&apos;s just the right size for the menu.| NULL| positive
Excellent| NULL| positive
– My husband and I love eating at Mioposto Café.| Mioposto Café| positive
We’re can’t say enough about their delicious gourmet pizza’s!| pizza’s| positive
You won’t be disappointed by their menu.| menu| positive
The pizza’s are thin crust and the menu offers very creative combinations and toppings.| menu| positive
The pizza’s are thin crust and the menu offers very creative combinations and toppings.| pizza’s| positive
You never feel icky and stuffed after you eat there.| NULL| positive
The pizza’s are light and scrumptious.| pizza’s| positive
Try the Pizza Ensalata!| Pizza Ensalata| positive
It’s a salad on top of pizza crust.| NULL| NULL
Absolutely delicious.| NULL| positive
The pizza’s are not huge and the crust is thin…keep that in mind when you’re ordering.| pizza’s| neutral
The pizza’s are not huge and the crust is thin…keep that in mind when you’re ordering.| crust| neutral
Worth the wait| NULL| positive
– Had to wait thirty minutes to get in the door on a tuesday morning, but it was so worth it.| NULL| negative
– Had to wait thirty minutes to get in the door on a tuesday morning, but it was so worth it.| NULL| positive
The food is sinful.| food| positive
The staff was really friendly.| staff| positive
The atmosphere was great.| atmosphere| positive
The specialty here is decadent pancakes, but I&apos;ve been back now four times, and I&apos;ve been wowed every time.| pancakes| positive
Nothing on the menu is less than amazing.| menu| positive
Go with some friends, wait the half hour or so with a cup of joe, and enjoy more than your average breakfast.| breakfast| positive
Go with some friends, wait the half hour or so with a cup of joe, and enjoy more than your average breakfast.| NULL| positive
Good eats.| eats| positive
Whose writing all the great reviews?| NULL| NULL
Why is it that (almost) every good review is by &quot;anonymous?&quot;| NULL| NULL
I don&apos;t know why anyone would want to write a great review about this place.| place| negative
I have been to this place, folks and it is BAD.| place| negative
Maybe it is good for that one night once in a blue moon when the chefs decide to use fish that&apos;s half-way decent.| fish| negative
I have been here, spent tons of money on a chef special dinner and it was a major dissappointment.| chef special dinner| negative
I have been here, spent tons of money on a chef special dinner and it was a major dissappointment.| chef special dinner| negative
Fancy pieces of exotic fish on a $100 dollar plate and NOT ONE was eatable.| plate| negative
Fancy pieces of exotic fish on a $100 dollar plate and NOT ONE was eatable.| exotic fish| negative
Fancy pieces of exotic fish on a $100 dollar plate and NOT ONE was eatable.| exotic fish| negative
DONOT GO!| NULL| negative
Delicious| NULL| positive
– The atmosphere is great for any special occasion you might want to celebrate.| atmosphere| positive
The best dish are the honwy walnut prawns- just outstanding.| honwy walnut prawns| positive
The service is really attentive and charming.| service| positive
4 Locations| NULL| NULL
– they have 4 locations.| NULL| NULL
the 2 listed and then one in Southglenn mall parking lot which is reviewed here and one in Ft Collins.| NULL| NULL
We waited for an hour to be seated.| NULL| negative
The service was excellent, the coffee was good even by starbucks standards and the food was outstanding.| service| positive
The service was excellent, the coffee was good even by starbucks standards and the food was outstanding.| coffee| positive
The service was excellent, the coffee was good even by starbucks standards and the food was outstanding.| food| positive
It was worth the wait.| NULL| positive
Plan on waiting 30-70 minutes.| NULL| neutral
Will definitely be back.| NULL| positive
Southglenn is largest location.| NULL| NULL
Delicious...!| NULL| positive
– I recently had the pleasure of dining as this delightful restaurant on 2nd street and wow what a great evening we had.| restaurant| positive
The food is fantastic, authentic, delicious and very, very affordable.| food| positive
The food is fantastic, authentic, delicious and very, very affordable.| food| positive
The decor was beautiful and unique.| decor| positive
There was a really nice vibe about the place...good music, atmosphere and happy looking people.| music| positive
There was a really nice vibe about the place...good music, atmosphere and happy looking people.| atmosphere| positive
There was a really nice vibe about the place...good music, atmosphere and happy looking people.| vibe| positive
There was a really nice vibe about the place...good music, atmosphere and happy looking people.| people| positive
Our server was very professional and friendly.| server| positive
To the owners of Open Sesame...Bravo...I can&apos;t wait to come back to dine at your restaurant!| Open Sesame| positive
Delectable | NULL| positive
It&apos;s a tiny place so if you get there before 8pm on a weekend (Thurs?Sun) you will find it easier to get a table or a seat at the sushi bar.| place| neutral
Once you&apos;re inside, the real experience begins.| NULL| positive
Everything, and I mean everything on the menu is delectable.| menu| positive
The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.| waiters| positive
The sushi is as fresh as it comes?you&apos;d think ocean was in their backyard, no joke!| sushi| positive
If you&apos;re interested in good tasting (without the fish taste or smell), large portions and creative sushi dishes this is your place...| NULL| positive
If you&apos;re interested in good tasting (without the fish taste or smell), large portions and creative sushi dishes this is your place...| portions| positive
If you&apos;re interested in good tasting (without the fish taste or smell), large portions and creative sushi dishes this is your place...| sushi dishes| positive
big thick pepperoni| pepperoni| positive
– The pepperoni&apos;s cut real thick--Yum.| pepperoni&apos;s| positive
The pizza itself is not exactly the best I&apos;ve had EVER, but still pretty good.| pizza| positive
I probably wouldn&apos;t go back though &apos;cuz I don&apos;t know if it&apos;s worth it.| NULL| negative
Maybe I&apos;ll go back once more many years from now when I&apos;ve forgotten I went there already.| NULL| negative
Sit in the Balcony| Balcony| positive
– Not bad.| NULL| neutral
Food was good and appetizing.| Food| positive
Portions was just enough for me, but may not be for a big eater.| Portions| neutral
Fair menu selection.| menu selection| neutral
The appetizer was interesting, but the Creme Brulee was very savory and delicious.| appetizer| positive
The appetizer was interesting, but the Creme Brulee was very savory and delicious.| Creme Brulee| positive
Indoor ambience was modern.| Indoor ambience| positive
If it&apos;s nice outside, request for a table in the balcony.| balcony| positive
It&apos;s a great place to people watch.| place| positive
Although the service could be improved considering the money you put in.| service| negative
Although the service could be improved considering the money you put in.| NULL| negative
Our drinks kept coming but our server came by a couple times.| server| negative
Our drinks kept coming but our server came by a couple times.| NULL| positive
Should check-up on us more frequently, don&apos;t you think?| NULL| negative
Late night dinning with exeptional food.| food| positive
– I didn&apos;t want to go there because of the reviews and prices I saw on the internet.| NULL| NULL
That was the last night in Vegas and was too late and most of the restaurant were closing - so we walked in the check the place.| NULL| NULL
We were seated right away, the table was private and nice.| NULL| positive
We were seated right away, the table was private and nice.| table| positive
The service was exceptional - sometime there was a feeling that we were served by the army of friendly waiters.| service| positive
The service was exceptional - sometime there was a feeling that we were served by the army of friendly waiters.| waiters| positive
The food was very good, filet mignon was probably the best I&apos;ve ever try.| food| positive
The food was very good, filet mignon was probably the best I&apos;ve ever try.| filet mignon| positive
The portions are big though, so do not order too much.| portions| neutral
Groovy music made the dinner casual.| music| positive
The most pleasant surprise was the check that did not exceed my expectations as it always happens in most of the places.| NULL| positive
I have a but here - there was a bathroom attendant in the restroom which was odd.| restroom| negative
The bathroom itself is very small with two toilets and only one sink, the girl was staying totally on the way hanging out paper towels from the dispenser.| bathroom| negative
There were 3 bottles of perfume on the sink and the line of girls trying to use the sink.| NULL| NULL
I felt ackward and next time went to the casino bathroom.| NULL| negative
This place rocks!!| place| positive
– Mercedes restaurant is so tasty, the service is undeniably awesome!| service| positive
– Mercedes restaurant is so tasty, the service is undeniably awesome!| NULL| positive
The chips  and salsa are so yummy, and the prices are fabulous.| chips  and salsa| positive
The chips  and salsa are so yummy, and the prices are fabulous.| NULL| positive
The atmosphere is aspiring, and  the decor is festive and amazing..| atmosphere| positive
The atmosphere is aspiring, and  the decor is festive and amazing..| decor| positive
The catering is out of this world, and Raouls chicken vegetable soup rocks my world!!!| Raouls chicken vegetable soup| positive
The catering is out of this world, and Raouls chicken vegetable soup rocks my world!!!| catering| positive
Drinks are suberb, and I feel like I am in a Third World country when I walk in the door.| Drinks| positive
Drinks are suberb, and I feel like I am in a Third World country when I walk in the door.| NULL| positive
Insultingly Overpriced| NULL| negative
- Mediocre Service/Quality| Service| neutral
– This review is for the Southglen location which is not listed in Citysearch:  I wish this review would make a difference enough for it to be addressed by management but Snooze has people climbing over each other for a chance to eat at this overpriced restaurant with mediocre food and service, so this review as well as the other negative ones for their Larimer location will go unaddressed.| NULL| NULL
The presentation of Snooze is excellent and it is one of those places that you feel more sophisticated just for being there; but peel back the layers and you have an overpriced IHOP with a high brow menu.| Snooze| positive
The presentation of Snooze is excellent and it is one of those places that you feel more sophisticated just for being there; but peel back the layers and you have an overpriced IHOP with a high brow menu.| menu| negative
The presentation of Snooze is excellent and it is one of those places that you feel more sophisticated just for being there; but peel back the layers and you have an overpriced IHOP with a high brow menu.| Snooze| negative
To start off, approximately 8-10 oz of orange juice will cost you $3.| orange juice| negative
They serve it in a tall, skinny hour-glass shaped glass to disguise the fact that you a getting a small juice at the price of a half gallon in a supermarket.| juice| negative
They serve it in a tall, skinny hour-glass shaped glass to disguise the fact that you a getting a small juice at the price of a half gallon in a supermarket.| juice| negative
I should have just asked for the check when I saw that; but their menu was so unique that I continued.| menu| positive
The pancakes were certainly inventive but $8.50 for 3 - 6&quot; pancakes (one of them was more like 5&quot;) in the pancake flight (sample of 3 different pancakes) is well over-priced.| pancakes| positive
The pancakes were certainly inventive but $8.50 for 3 - 6&quot; pancakes (one of them was more like 5&quot;) in the pancake flight (sample of 3 different pancakes) is well over-priced.| pancakes| negative
The pancakes were certainly inventive but $8.50 for 3 - 6&quot; pancakes (one of them was more like 5&quot;) in the pancake flight (sample of 3 different pancakes) is well over-priced.| pancakes| negative
The pancakes should be larger (at least 8&quot;) to justify the expense even with the unique offerings.| pancakes| negative
The pancakes should be larger (at least 8&quot;) to justify the expense even with the unique offerings.| pancakes| negative
The flavors were good but I have had far better pancakes at a German pancake specialty restaurant that were a little cheaper but significantly larger.| NULL| NULL
On my meal I had to send back my eggs for a simple request of breaking the yokes before cooking, and would have had to send them back again if I hadn&apos;t rejected the meal all together.| eggs| negative
On my meal I had to send back my eggs for a simple request of breaking the yokes before cooking, and would have had to send them back again if I hadn&apos;t rejected the meal all together.| meal| negative
I rejected it because in the process of attempting to fix the eggs they broke something else in the dish and I was too frustrated to continue.| dish| negative
To their credit they removed the dish from the check; but no manager stopped by to ask what the problem was.| manager| negative
To their credit they removed the dish from the check; but no manager stopped by to ask what the problem was.| NULL| positive
In the end our check came to $27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea (I had water).| pancakes| negative
In the end our check came to $27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea (I had water).| pancakes| negative
In the end our check came to $27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea (I had water).| breakfast burrito| negative
In the end our check came to $27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea (I had water).| orange juice| negative
In the end our check came to $27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea (I had water).| iced tea| negative
This was 2 times what the same meal would have cost at Le Peep.| NULL| NULL
Snooze provided an inventive pancake offering, but Le Peep would have provided better service and quality.| NULL| NULL
Much more than just a great view!| view| positive
Much more than just a great view!| NULL| positive
– I am exceedingly pleased to report that my dinner at Ray&apos;s Boathouse last Friday completely exceeded my expectations.| Ray&apos;s Boathouse| positive
Ray&apos;s is something of a Seattle institution, but given its gorgeous Sound views, I had suspected that the accolades were more due to the scenery than to the food and service.| Sound views| positive
Imagine my happy surprise upon finding that the views are only the third-best thing about Ray&apos;s!| views| positive
Imagine my happy surprise upon finding that the views are only the third-best thing about Ray&apos;s!| Ray&apos;s| positive
To start things off, our lovely server Brooke was quickly on hand to take my drink order.| Brooke| positive
My party of two was feeling particularly ambitious, and we splurged on the Shilshole Sampler...a beautiful assortment of enormous white gulf prawns, smoked albacore tuna, Ray&apos;s fantastic manila clams seasoned with dill, scallops in a tasty soy dressing, and a tiny pile of Dungeness crab atop a sublime butter sauce.| white gulf prawns| positive
My party of two was feeling particularly ambitious, and we splurged on the Shilshole Sampler...a beautiful assortment of enormous white gulf prawns, smoked albacore tuna, Ray&apos;s fantastic manila clams seasoned with dill, scallops in a tasty soy dressing, and a tiny pile of Dungeness crab atop a sublime butter sauce.| manila clams| positive
My party of two was feeling particularly ambitious, and we splurged on the Shilshole Sampler...a beautiful assortment of enormous white gulf prawns, smoked albacore tuna, Ray&apos;s fantastic manila clams seasoned with dill, scallops in a tasty soy dressing, and a tiny pile of Dungeness crab atop a sublime butter sauce.| soy dressing| positive
My party of two was feeling particularly ambitious, and we splurged on the Shilshole Sampler...a beautiful assortment of enormous white gulf prawns, smoked albacore tuna, Ray&apos;s fantastic manila clams seasoned with dill, scallops in a tasty soy dressing, and a tiny pile of Dungeness crab atop a sublime butter sauce.| butter sauce| positive
My party of two was feeling particularly ambitious, and we splurged on the Shilshole Sampler...a beautiful assortment of enormous white gulf prawns, smoked albacore tuna, Ray&apos;s fantastic manila clams seasoned with dill, scallops in a tasty soy dressing, and a tiny pile of Dungeness crab atop a sublime butter sauce.| Shilshole Sampler| positive
My party of two was feeling particularly ambitious, and we splurged on the Shilshole Sampler...a beautiful assortment of enormous white gulf prawns, smoked albacore tuna, Ray&apos;s fantastic manila clams seasoned with dill, scallops in a tasty soy dressing, and a tiny pile of Dungeness crab atop a sublime butter sauce.| Shilshole Sampler| positive
For my entr&amp;eacute;e, I completely enjoyed the seared Alaskan sea scallops complemented by chard, artichoke hearts, fennel, and pecorino toscano.| seared Alaskan sea scallops| positive
For my entr&amp;eacute;e, I completely enjoyed the seared Alaskan sea scallops complemented by chard, artichoke hearts, fennel, and pecorino toscano.| seared Alaskan sea scallops| positive
The scallops are apparently cooked in a black olive butter which really makes them unique (not to mention tasty).| scallops| positive
The scallops are apparently cooked in a black olive butter which really makes them unique (not to mention tasty).| scallops| positive
My friend enjoyed the grilled Alaskan King Salmon with delectable creamed Washington russet potatoes and crisp green beans.| grilled Alaskan King Salmon| positive
My friend enjoyed the grilled Alaskan King Salmon with delectable creamed Washington russet potatoes and crisp green beans.| creamed Washington russet potatoes| positive
My friend enjoyed the grilled Alaskan King Salmon with delectable creamed Washington russet potatoes and crisp green beans.| green beans| positive
I had a taste of all three items on her plate, and they were superb.| plate| positive
Our server continued to be attentive throughout the night, but I did remain puzzled by one issue:  Who thinks that Ray&apos;s is an appropriate place to take young children for dinner?| server| positive
Our server continued to be attentive throughout the night, but I did remain puzzled by one issue:  Who thinks that Ray&apos;s is an appropriate place to take young children for dinner?| Ray&apos;s| neutral
Two rascally kids were seated near us for the first part of our dinner...they were replaced by a delightful preteen who pretended to gag every time seafood was mentioned at her table.| NULL| negative
Given that Ray&apos;s is a seafood restaurant...well, you get the idea...| NULL| NULL
All considered, I have to say that Ray&apos;s Boathouse is deserving of its title as a Seattle institution.| Ray&apos;s Boathouse| positive
While I could have done without the youth who shared the evening with us, our wonderful server and food made the experience a very positive one.| server| positive
While I could have done without the youth who shared the evening with us, our wonderful server and food made the experience a very positive one.| food| positive
While I could have done without the youth who shared the evening with us, our wonderful server and food made the experience a very positive one.| NULL| negative
Oh yeah...the view was good, too.| view| positive
