"id","text","aspectTerms__aspectTerm__term","aspectTerms__aspectTerm__polarity","aspectTerms__aspectTerm__from","aspectTerms__aspectTerm__to","aspectCategories__aspectCategory__category","aspectCategories__aspectCategory__polarity"
"1704","One should not go to Lucky Strike for the food.","food","negative","42","46","food","negative"
"1196","The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.","service","negative","4","11","service","negative"
"","","table","negative","112","117","",""
"3689","We could only get through an appetizer and cheese fondue.","appetizer","neutral","29","38","food","neutral"
"","","cheese fondue","neutral","43","56","anecdotes/miscellaneous","neutral"
"1379","To me it exemplifies Soho, cute, artsy, interesting.","","","","","ambience","positive"
"2142","Try everything for that matter, it is all good.","","","","","food","positive"
"3472","Both times we waited well over a half hour for a table (even though we had reservations).","table","negative","49","54","service","negative"
"","","reservations","negative","75","87","",""
"2372","happy to be a regular at this place and would warmly recommend it to anyone.","","","","","anecdotes/miscellaneous","positive"
"3561","I've been eating at Taj Mahal for over twenty years and have found them to be the most excellent of the Indian eateries on this block of Indian restaurants.","","","","","anecdotes/miscellaneous","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"16","night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.","manager","positive","83","90","service","positive"
"","","reservation","neutral","16","27","",""
"","","bar","neutral","51","54","",""
"","","wait","positive","116","120","",""
"2253","Try the green curry!!!","green curry","positive","8","19","food","positive"
"3425","We had the scallops as an appetizer and they were delicious and the sauce was wonderful.","scallops","positive","11","19","food","positive"
"","","appetizer","positive","26","35","",""
"","","sauce","positive","68","73","",""
"2698","We were also seated promptly at the time of our reservation and the service was very quick and professional.","service","positive","68","75","service","positive"
"","","reservation","positive","48","59","",""
"2496","You rarely have to wait for a seat and the currys (masaman, green, red) are full of flavor and come super spicy if you ask for it.","seat","positive","30","34","food","positive"
"","","currys (masaman, green, red)","positive","43","71","service","positive"
"","","flavor","positive","84","90","",""
"124","The food there are sastifying.","food","positive","4","8","food","positive"
"2600","I highly recommend to anyone to give this place a try.","","","","","anecdotes/miscellaneous","positive"
"630","I highly recommend visiting this restaurant and having dinner and drinks!","dinner","positive","55","61","anecdotes/miscellaneous","positive"
"","","drinks","positive","66","72","food","positive"
"267","The bar is very well stocked with interesting beers and well priced wines.","bar","positive","4","7","food","positive"
"","","beers","positive","46","51","",""
"","","wines","positive","68","73","",""
"","","priced","positive","61","67","",""
"1804","I agree.","","","","","anecdotes/miscellaneous","neutral"
"2657","Last memorial day, I tried to make reservations but was told they were closed that weekend (interesting, but...).","reservations","negative","35","47","anecdotes/miscellaneous","negative"
"","","","","","","service","negative"
"920","The food was good.","food","positive","4","8","food","positive"
"2976","Great wine selection, Gigondas is worth the price, and the house champagne is a great value.","wine selection","positive","6","20","food","positive"
"","","Gigondas","positive","22","30","",""
"","","house champagne","positive","59","74","",""
"","","price","neutral","44","49","",""
"2408","at night, but it's hard to hear your own conversation with everyone else competing for that same luxury - the music playing in the background is also voluminous.","music","negative","110","115","ambience","negative"
"2237","It just wasn't Thai.","","","","","anecdotes/miscellaneous","negative"
"304","I have enjoyed everything I have ever gotten and the fish is so fresh and always prepared in a great way.","fish","positive","53","57","food","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"3225","I particularly love their yellowfun tuna and their mussel selection.","yellowfun tuna","positive","26","40","food","positive"
"","","mussel selection","positive","51","67","",""
"3154","I love to visit Murrays for my bagel fix.","bagel","positive","31","36","anecdotes/miscellaneous","positive"
"2348","We made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school Italian scenery with lots of fun stuff to admire.","scenery","positive","118","125","ambience","positive"
"","","dinner reservations","positive","14","33","",""
"2971","Recommended.","","","","","anecdotes/miscellaneous","positive"
"921","The place was nice and calm.","place","positive","4","9","ambience","positive"
"532","Cheese plate is a varied delight and great bargain at $10.","Cheese plate","positive","0","12","food","positive"
"","","","","","","price","positive"
"1972","I could have drank 4 glasses of water and still been parched - so watch out.","glasses of water","neutral","21","37","food","negative"
"553","When we sat, we got great and fast service.","service","positive","35","42","service","positive"
"1681","Most of the servers are very attentive, friendly and quite attractive.","servers","positive","12","19","service","positive"
"2586","I think locals rate this place so high.","","","","","anecdotes/miscellaneous","neutral"
"1734","Service is average.","Service","neutral","0","7","service","neutral"
"2558","But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).","Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual)","positive","115","230","food","positive"
"","","specials","positive","97","105","",""
"1522","Go girls!!!","","","","","anecdotes/miscellaneous","positive"
"3683","They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.","sandwich","neutral","14","22","service","negative"
"","","plastic forks","neutral","39","52","",""
"","","pita","neutral","73","77","",""
"","","hummus platter","neutral","87","101","",""
"2715","The steak is good, the fish is good and the sushi was surprisingly great.","steak","positive","4","9","food","positive"
"","","fish","positive","23","27","",""
"","","sushi","positive","44","49","",""
"760","For asian fusion, there are many places further downtown.","","","","","anecdotes/miscellaneous","neutral"
"120","Old school meets New world.","","","","","anecdotes/miscellaneous","neutral"
"2295","I am reluctant to write because I would not want my jem of a pizza place to become overcrowded.","pizza","positive","61","66","anecdotes/miscellaneous","positive"
"3513","The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.","service","negative","4","11","service","negative"
"","","staff","negative","45","50","ambience","negative"
"2880","This is probably one of my new favorite places.","","","","","anecdotes/miscellaneous","positive"
"2034","For being number 1, this place has alot of work to do in order to truly earn its so called reputation.","","","","","anecdotes/miscellaneous","negative"
"3299","For myself and family we would only go here to celebrate an occassion, I do prefer smaller, quiter restaurants.","","","","","anecdotes/miscellaneous","neutral"
"","","","","","","ambience","neutral"
"1208","The one on the east side is much better than the one on the west side.","","","","","anecdotes/miscellaneous","neutral"
"2148","They all know you.","","","","","service","positive"
"2192","My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi.","cocktails","positive","63","72","food","positive"
"","","decor","positive","84","89","ambience","positive"
"","","sushi","positive","106","111","",""
"2020","We ended the dinner with a surprisingly light and flaky apple tarte tatin.","apple tarte tatin","positive","56","73","food","positive"
"","","dinner","neutral","13","19","",""
"915","The buffet had a nice selection.","buffet","positive","4","10","food","positive"
"","","selection","positive","22","31","",""
"1768","Waitstaff are very friendly.","Waitstaff","positive","0","9","service","positive"
"302","This restaurant is such a great place.","","","","","anecdotes/miscellaneous","positive"
"3052","Once you step into Cosette, you're miraculously in a small, off-the-beaten path Parisian bistro.","","","","","ambience","neutral"
"2956","I've been several times and am totally smitten.","","","","","anecdotes/miscellaneous","positive"
"569","Terrible experience.","","","","","anecdotes/miscellaneous","negative"
"658","I love the place.","","","","","anecdotes/miscellaneous","positive"
"1664","Service was slow had to wait to order and get food although not crowded.","Service","negative","0","7","service","negative"
"","","food","neutral","46","50","",""
"3690","Will have to return to try the chocolate!","chocolate","positive","31","40","anecdotes/miscellaneous","neutral"
"1274","It's only $1.95 for a regular slice and $4.00 for a slice with a mushroom, not mushrooms.","","","","","price","positive"
"481","There is a real gallery of stars that have visited.","","","","","ambience","neutral"
"2827","The food was below average, the service was pathetic, there was no ambience at all.","food","negative","4","8","food","negative"
"","","service","negative","32","39","service","negative"
"","","ambience","negative","67","75","ambience","negative"
"1585","I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.","SHOWS","positive","21","26","ambience","positive"
"","","ACTORS","positive","41","47","",""
"2163","Our first time in New York and we had to try a New York Bagel.","New York Bagel","neutral","47","61","anecdotes/miscellaneous","neutral"
"3443","service was efficient courteous.","service","positive","0","7","service","positive"
"2108","this one is definintely my least favorite.","","","","","anecdotes/miscellaneous","negative"
"3452","I have been urged by friends for months to check out the mermaid inn.","","","","","anecdotes/miscellaneous","neutral"
"412","The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.","miso soup","negative","4","13","food","negative"
"","","fish","negative","36","40","",""
"","","flavor","negative","21","27","",""
"3675","Everytime my husband and I go there, we are never disappointed.","","","","","anecdotes/miscellaneous","positive"
"2154","They are the best bagels I've had.","bagels","positive","18","24","food","positive"
"223","We were not disappointed.","","","","","anecdotes/miscellaneous","positive"
"1667","I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.","ambience","neutral","105","113","anecdotes/miscellaneous","neutral"
"","","food","neutral","119","123","",""
"426","Toons has recently been redone, so it's now a very attractive space.","space","positive","62","67","ambience","positive"
"1964","$160 for 2 filets, 2 sides, an appetizer and drinks.","filets","neutral","11","17","food","neutral"
"","","sides","neutral","21","26","price","neutral"
"","","appetizer","neutral","31","40","",""
"","","drinks","neutral","45","51","",""
"3380","While the prices are nothing special, the portions are huge.","prices","neutral","10","16","price","positive"
"","","portions","positive","42","50","food","positive"
"3185","Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time.","location","positive","17","25","ambience","positive"
"","","meal","positive","43","47","food","positive"
"2651","We arrived for dinner expecting to be impressed by a place that has an impressive past - but, that's just it -- the PAST!","dinner","neutral","15","21","anecdotes/miscellaneous","negative"
"718","However, I think this place is a good hang out spot.","spot","positive","47","51","ambience","positive"
"2848","The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.","menu","negative","4","8","price","negative"
"","","food","positive","102","106","food","positive"
"","","Prix Fixe","neutral","12","21","",""
"596","Rao is a good restaurant, but it's nothing special.","","","","","anecdotes/miscellaneous","neutral"
"523","The wine list is extensive and impressive.","wine list","positive","4","13","food","positive"
"1497","We had the most wonderful waitress.","waitress","positive","26","34","service","positive"
"2861","While the staff at this little bistro is very friendly, I have never experienced more incompetency.","staff","positive","10","15","service","conflict"
"2697","The quail was fantastic and unique and the pastas were full of flavor.","quail","positive","4","9","food","positive"
"","","pastas","positive","43","49","",""
"","","flavor","positive","63","69","",""
"876","When we left at 8:00 PM, it was packed and noisy.","","","","","anecdotes/miscellaneous","neutral"
"","","","","","","ambience","negative"
"248","Okay, so I never write but there doesn't seem to fair balance of positive to negative reviews concerning Green Bo and it's time to speak up - I live in Chinatown.","","","","","anecdotes/miscellaneous","neutral"
"1116","The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.","zucchini","positive","4","12","food","positive"
"","","mashed potatoes","positive","17","32","",""
"","","garlic","positive","48","54","",""
"","","butter","positive","59","65","",""
"3001","The staff is courteous and friendly.","staff","positive","4","9","service","positive"
"1058","Never fails to please.","","","","","anecdotes/miscellaneous","positive"
"2067","Decor is nice though service can be spotty.","Decor","positive","0","5","service","positive"
"","","service","negative","21","28","ambience","positive"
"2491","Aside from the rushed service, we were very impressed with the food and the drinks.","service","negative","22","29","food","positive"
"","","food","positive","63","67","service","negative"
"","","drinks","positive","76","82","",""
"2703","Will absolutely visit again.","","","","","anecdotes/miscellaneous","positive"
"1045","Make sure you have the Spicy Scallop roll.. .","Spicy Scallop roll","positive","23","41","food","positive"
"2895","I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.","Indian dining experience","positive","72","96","anecdotes/miscellaneous","positive"
"","","","","","","price","positive"
"","","","","","","food","positive"
"59","And even with it's Pub atmosphere they were great to my kids too!","Pub atmosphere","conflict","19","33","ambience","conflict"
"1650","This big draw is the all you can sushi here for $19.95!","sushi","positive","33","38","price","positive"
"1432","I consider the best Grand Sichuan restaurant in NYC.","","","","","anecdotes/miscellaneous","positive"
"1527","we spent 50 $$ definetly will come back with my friends!!!","","","","","anecdotes/miscellaneous","positive"
"","","","","","","price","positive"
"1926","Went to Village last night for my birthday.","","","","","anecdotes/miscellaneous","neutral"
"1835","Some of the workers ignore me and talk to the female customers, other times, they've skipped my order.","workers","negative","12","19","service","negative"
"","","order","negative","96","101","",""
"208","The specials are usually quite good too.","specials","positive","4","12","food","positive"
"1023","They've the best desserts and mixed drinks as well as snack foods.","desserts","positive","17","25","food","positive"
"","","mixed drinks","positive","30","42","",""
"","","snack foods","positive","54","65","",""
"85","Try the chocolate mud cake (warmed) with 2 scoops of dulce de leche gelato.","chocolate mud cake (warmed)","positive","8","35","food","positive"
"","","dulce de leche gelato","positive","53","74","",""
"2388","That's good and bad.","","","","","anecdotes/miscellaneous","conflict"
"609","Really cool stauff inside.","stauff","positive","12","18","ambience","positive"
"3417","While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled.","classical furniture","positive","57","76","anecdotes/miscellaneous","neutral"
"","","menu","negative","113","117","ambience","positive"
"","","","","","","food","negative"
"602","The best burger I have had in the Village.","burger","positive","9","15","food","positive"
"909","We visited Orsay during NY Restaurant Week and tried their $35 menu.","menu","neutral","63","67","anecdotes/miscellaneous","neutral"
"488","I would have gotten some cole slaw and a knish if my stomach had more space.","cole slaw","neutral","25","34","food","positive"
"","","knish","neutral","41","46","",""
"804","came here for restaurant week, didn't save much, but it was still great.","","","","","anecdotes/miscellaneous","conflict"
"","","","","","","price","conflict"
"1153","Would NEVER go back there.","","","","","anecdotes/miscellaneous","negative"
"769","Three of us arrived for dinner about 5:30 on a week night without reservations.","dinner","neutral","24","30","anecdotes/miscellaneous","neutral"
"","","reservations","neutral","66","78","",""
"3026","The blond wood decor is very soothing, the premium sake is excellent and the service is great.","blond wood decor","positive","4","20","food","positive"
"","","sake","positive","51","55","service","positive"
"","","service","positive","77","84","ambience","positive"
"661","There is usually a wait but it is well worth it.","wait","conflict","19","23","anecdotes/miscellaneous","conflict"
"1437","Be careful, when they say spicy, they mean it!","","","","","anecdotes/miscellaneous","neutral"
"2532","Your money could easily be better spent elsewhere (Anywhere).","money","neutral","5","10","anecdotes/miscellaneous","negative"
"1062","Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.","bagel","negative","38","43","service","negative"
"","","eggs","negative","65","69","",""
"","","bagel","negative","78","83","",""
"552","As always we had a great glass of wine while we waited.","glass of wine","positive","25","38","food","positive"
"1953","Bring your appetites.","","","","","anecdotes/miscellaneous","neutral"
"1722","The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).","wait staff","positive","4","14","service","positive"
"1218","Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?","atmosphere","negative","15","25","ambience","negative"
"","","bagel","neutral","76","81","",""
"509","Service was very good and warm.","Service","positive","0","7","service","positive"
"2318","For dinner I had the chicken tikka-masala and some garlic naan.","chicken tikka-masala","neutral","21","41","food","neutral"
"","","garlic naan","neutral","51","62","",""
"","","dinner","neutral","4","10","",""
"2676","Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.","dinner","positive","149","155","ambience","positive"
"","","setting","positive","126","133","",""
"1965","Like others have said, don't expect the restaurant to make a nite out romantic for you and yes, a busy restaurant may require you to wait.","","","","","ambience","negative"
"","","","","","","service","negative"
"597","Seriously, this place kicks ass.","","","","","anecdotes/miscellaneous","positive"
"3317","Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.","Food","positive","0","4","food","positive"
"","","view","positive","22","26","ambience","positive"
"1745","Also, because it is so thin, it gets cold very quickly and its not that filling.","","","","","food","negative"
"3527","The food is nothing like its menu description.","food","negative","4","8","food","negative"
"","","menu description","negative","29","45","",""
"1387","Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.","Pad Se-Ew","positive","8","17","food","positive"
"","","Chicken with Cashew Nuts","positive","21","45","",""
"3629","It's just O.K. pizza.","pizza","neutral","15","20","food","neutral"
"2168","I loved it and would HIGHLY RECOMMEND.","","","","","anecdotes/miscellaneous","positive"
"3023","I've been here twice now.","","","","","anecdotes/miscellaneous","neutral"
"594","The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.","food","neutral","4","8","food","neutral"
"","","ambience","conflict","36","44","ambience","conflict"
"1587","THE BEST PLACE TO BRING KIDS OR ANY FRIENDS WHO WANT TO DO SOMETHING DIFFERENT.","","","","","anecdotes/miscellaneous","positive"
"2620","The service was a bit slow, but they were very friendly.","service","negative","4","11","service","conflict"
"3106","However, I do not understand the extraordinary hype about this restaurant.","","","","","anecdotes/miscellaneous","negative"
"262","It's a small cute restaurant.","","","","","ambience","positive"
"606","I will be returning.","","","","","anecdotes/miscellaneous","positive"
"2871","Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.","specials","positive","95","103","food","positive"
"","","atmosphere","positive","123","133","ambience","positive"
"","","French bistro fare","positive","70","88","",""
"46","The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.","food","positive","4","8","food","positive"
"656","Thius is a must for anyone who loves Shabu-Shabu.","Shabu-Shabu","positive","37","48","food","positive"
"1301","The food was absolutely horrible!","food","negative","4","8","food","negative"
"1559","Food doesn't appear to be cooked on premisis but there's a high turnover so its pretty fresh.","Food","conflict","0","4","food","conflict"
"3648","Restaurant was dirty and unkempt.","","","","","ambience","negative"
"3705","Nice place though.","","","","","anecdotes/miscellaneous","positive"
"1051","Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!","","","","","anecdotes/miscellaneous","positive"
"3539","Similar to other Indian restaurants, they use the dinner special to attract customers at the door.","dinner special","neutral","50","64","anecdotes/miscellaneous","neutral"
"1648","It is a small restuarant so go early and it will be nice and quiet- go late and it will be packed!","","","","","ambience","conflict"
"3134","The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at.","food","positive","124","128","anecdotes/miscellaneous","neutral"
"","","people with carts of food","negative","4","29","service","negative"
"","","","","","","food","positive"
"2643","The crackling calamari salad, which is usually a cheap disaster at many restaurants, is crispy and lightly dressed.","crackling calamari salad","positive","4","28","food","positive"
"1655","Not the greatest sushi place, but excellent for a $19.95 all you can eat.","sushi place","negative","17","28","food","neutral"
"","","","","","","price","positive"
"1935","Shockingly easy to throw a group dinner here: simple contract, deposit only to hold the date the entire 2nd fl mezz for our grp of 20.","group dinner","neutral","27","39","anecdotes/miscellaneous","positive"
"1254","The Thai ice tea was amazingly smooth and yummy!","Thai ice tea","positive","4","16","food","positive"
"3021","We've never had any problems with the staff but maybe we've been lucky?","staff","positive","38","43","service","positive"
"1665","Drinks way over priced.","Drinks","negative","0","6","price","negative"
"","","priced","negative","16","22","",""
"2432","The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.","noise level","negative","98","109","service","negative"
"","","guy","negative","48","51","",""
"2230","What I didn't like was how the food came right after it was ordered.","food","negative","31","35","food","negative"
"2381","But WARNING: to all those that use this site be weary, be very weary of recommendations.","","","","","anecdotes/miscellaneous","negative"
"574","Moderate prices.","prices","neutral","9","15","price","neutral"
"625","We had a great time at the Jekyll and hyde Pub last night.","","","","","anecdotes/miscellaneous","positive"
"1484","Try it side by side and there's no comparison.","","","","","anecdotes/miscellaneous","positive"
"3229","I think I've had some the best meals of my life at minnow.","meals","positive","31","36","food","positive"
"1852","My biggest complaint was the un-tasty food although presented well.","food","conflict","38","42","food","conflict"
"3053","This tiny restaurant is as cozy as it gets, with that certain Parisian flair.","","","","","ambience","neutral"
"3630","So sorry I can't rate this better.","","","","","anecdotes/miscellaneous","neutral"
"2070","Most importantly, food is excellent.","food","positive","18","22","food","positive"
"2788","Buon appetito!","","","","","anecdotes/miscellaneous","positive"
"2671","Great roofdeck, nice group of 30 somethings, but no music, kind of quiet.","roofdeck","positive","6","14","ambience","conflict"
"","","music","negative","52","57","",""
"3618","If we were to move from the upper east side, we would genuinely miss this restaurant.","","","","","anecdotes/miscellaneous","positive"
"335","The best part of the experience was knowing that the manager (a bubbly, friendly young woman with a great smile) truly cared about how we were doing.","manager","positive","53","60","service","positive"
"2416","Ok, for all of us growing up in the Village of NYC, we have spoiled by a plethora of restaurants, most of which stay open very late.","","","","","anecdotes/miscellaneous","neutral"
"1845","However, service was as plain as sesame crusted Salmon I had.","service","neutral","9","16","service","neutral"
"","","sesame crusted Salmon","neutral","33","54","food","neutral"
"3622","I would highly recommend it.","","","","","anecdotes/miscellaneous","positive"
"149","It's great to go for a quick lunch either alone or with a friend.","lunch","positive","29","34","anecdotes/miscellaneous","positive"
"3571","The food was mediocre at best but it was the horrible service that made me vow never to go back.","food","neutral","4","8","food","neutral"
"","","service","negative","54","61","service","negative"
"1765","LLOOVVE THIS PLACE.","","","","","anecdotes/miscellaneous","positive"
"877","So some of the reviews here are accurate about the crowd and noise.","crowd","negative","51","56","anecdotes/miscellaneous","neutral"
"","","noise","negative","61","66","",""
"2415","You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.","eats","positive","96","100","food","positive"
"","","drinks","positive","105","111","ambience","positive"
"","","setting","positive","127","134","price","positive"
"3453","Finally, after all the raving I went to check it out with one of my enthusiastic friends this last Saturday night and let me tell you its all its cracked up to be.","","","","","anecdotes/miscellaneous","positive"
"1243","Place should also have a 1,2,3 chili rating to be more authentic...","","","","","anecdotes/miscellaneous","neutral"
"8","The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.","service","negative","4","11","service","negative"
"","","served","negative","140","146","",""
"2670","Went last Thursday.","","","","","anecdotes/miscellaneous","neutral"
"781","I love this place more and more everytime i go.","","","","","anecdotes/miscellaneous","positive"
"258","I go and eat out at many different restaurants and this is one place you have go and try.","","","","","anecdotes/miscellaneous","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"1713","Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!","atmosphere","positive","60","70","food","positive"
"","","people","positive","112","118","ambience","conflict"
"","","food","positive","138","142","price","negative"
"946","We only ordered desserts and drinks, but no refills were offered.","desserts","neutral","16","24","service","negative"
"","","drinks","neutral","29","35","",""
"697","Saul is the best restaurant on Smith Street and in Brooklyn.","","","","","anecdotes/miscellaneous","positive"
"452","Waiters are slow but sweet.","Waiters","conflict","0","7","service","conflict"
"303","I have been here a few times for dinner, once for brunch and twice for lunch.","dinner","neutral","33","39","anecdotes/miscellaneous","neutral"
"","","brunch","neutral","50","56","",""
"","","lunch","neutral","71","76","",""
"549","We went to Ino for Valentines.","","","","","anecdotes/miscellaneous","neutral"
"982","the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass.","menu","neutral","23","27","food","positive"
"","","beef cubes","positive","45","55","",""
"","","chicken with chili and lemon grass","positive","63","97","",""
"3354","It was good, but was not what I thought it would be.","","","","","anecdotes/miscellaneous","conflict"
"1323","The music is the best among all the Indian restaurants I have visited.","music","positive","4","9","ambience","positive"
"2899","The bread and lamb chops I had before the meal were quite good, however.","bread","positive","4","9","food","positive"
"","","lamb chops","positive","14","24","",""
"","","meal","neutral","42","46","",""
"1831","He always says, I don't have customers.","","","","","anecdotes/miscellaneous","neutral"
"584","Rao's has the best service and atmosphere in NYC.","service","positive","19","26","service","positive"
"","","atmosphere","positive","31","41","ambience","positive"
"2906","instead ordered an ice cold beer which to me works with indian.","beer","positive","28","32","anecdotes/miscellaneous","neutral"
"3645","Good for dates or with friends.","","","","","anecdotes/miscellaneous","positive"
"3048","They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.","noodles","negative","36","43","service","negative"
"","","sugar","negative","75","80","",""
"","","dishes","negative","96","102","",""
"1322","one of the best Chicken Tikka Masala.","Chicken Tikka Masala","positive","16","36","food","positive"
"2089","Excellent dumplings served amid clean, chic decor.","dumplings","positive","10","19","food","positive"
"","","decor","positive","44","49","ambience","positive"
"184","The kitchen however, is almost always slow.","kitchen","negative","4","11","service","negative"
"3697","The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square.","corned beef","positive","4","15","food","positive"
"","","pastrami","positive","20","28","",""
"2364","Cute place, nice wait staff but would never go there again.","wait staff","positive","17","27","service","positive"
"","","place","positive","5","10","ambience","positive"
"1573","We had a good time.","","","","","anecdotes/miscellaneous","positive"
"1328","Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...","hostess","positive","10","17","service","positive"
"3588","people are rude bit again it's new york!","people","negative","0","6","service","conflict"
"2082","We all felt it was worth it.","","","","","price","positive"
"1482","The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places.","plain slice","positive","4","15","food","positive"
"","","toppings","positive","40","48","",""
"1372","Service was also horrible and the ambience is not that great.","Service","negative","0","7","service","negative"
"","","ambience","negative","34","42","ambience","negative"
"1602","Service is great, takeout is good too.","Service","positive","0","7","food","positive"
"","","takeout","positive","18","25","service","positive"
"873","Based on the reviews on here, it appears that the restaurant is overwhelmed after the 7 PM.","","","","","anecdotes/miscellaneous","neutral"
"1473","The pizza is overpriced and soggy.","pizza","negative","4","9","food","positive"
"","","","","","","price","positive"
"929","Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city.","menu","positive","29","33","food","positive"
"","","view","positive","73","77","ambience","positive"
"2738","You'll pay at least double at any other Italian restaurant in the city, and most still don't compare.","","","","","price","positive"
"1675","For the quality of food, a little too expensive.","quality of food","negative","8","23","price","negative"
"","","","","","","food","negative"
"321","Came looking for this place because I heard good things.","","","","","anecdotes/miscellaneous","neutral"
"249","I live on the street this place is on.","","","","","anecdotes/miscellaneous","neutral"
"3646","Horrible.","","","","","anecdotes/miscellaneous","negative"
"3220","Here's to the fake fish tanks too...","fish tanks","negative","19","29","ambience","negative"
"2395","Its worth the wait though.","wait","conflict","14","18","anecdotes/miscellaneous","positive"
"2746","I've never had bad service and the fish is fresh and delicious.","service","positive","19","26","food","positive"
"","","fish","positive","35","39","service","positive"
"2718","The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","live jazz band","positive","55","69","food","neutral"
"","","atmosphere","positive","74","84","ambience","positive"
"","","Lobster Cobb Salad","neutral","100","118","",""
"2063","we decided to eat in tea room which was small and cute.","tea room","positive","21","29","ambience","positive"
"2691","What an amazing meal and experience!","meal","positive","16","20","anecdotes/miscellaneous","positive"
"","","","","","","food","positive"
"350","Unique apppetizers.","apppetizers","positive","7","18","food","positive"
"2892","The staff has always been attentive and kind, and I've always been amazed at how they've handled all the various different group sizes that come in.","staff","positive","4","9","service","positive"
"3227","IT is the best deal in town for a Monday night dinner at a fine restaurant.","dinner","positive","47","53","price","positive"
"1692","Nothing special about this place.","","","","","anecdotes/miscellaneous","neutral"
"3684","Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.","sandwiches","negative","10","20","price","negative"
"","","chips","neutral","65","70","",""
"","","side","neutral","76","80","",""
"3556","and never strayed.","","","","","anecdotes/miscellaneous","positive"
"2104","The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.","wait","negative","4","8","ambience","positive"
"","","dim sum","neutral","26","33","",""
"","","dim sum atmosphere","neutral","98","116","",""
"","","tables","positive","65","71","",""
"3612","Leave the kids at home!","","","","","anecdotes/miscellaneous","neutral"
"2037","This place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.","money","negative","111","116","anecdotes/miscellaneous","negative"
"","","indian food","neutral","120","131","price","negative"
"","","","","","","food","neutral"
"693","Everything is always cooked to perfection, the service is excellent, the decor cool and understated.","service","positive","47","54","food","positive"
"","","decor","positive","73","78","service","positive"
"","","","","","","ambience","positive"
"2634","And all of that won't break your bank!","","","","","price","positive"
"3184","The Thai food is good.","Thai food","positive","4","13","food","positive"
"2752","Just moved to the neighborhood and we've been trying all the West Village Sushi restaurants.","","","","","anecdotes/miscellaneous","neutral"
"519","Great selection of wine, and seafood.","selection of wine","positive","6","23","food","positive"
"","","seafood","positive","29","36","",""
"2369","delicious.","","","","","food","positive"
